* Hora,Total de Movimientos,% de Distribución de Movimientos,Monto Total acumulado,% De Distribución de Monto acumulado
00:00 - 00:59,1,1.19%,$150,0.58%
01:00 - 01:59,2,2.38%,"$1,000",3.86%
06:00 - 06:59,2,2.38%,$400,1.54%
07:00 - 07:59,4,4.76%,$800,3.09%
08:00 - 08:59,1,1.19%,$250,0.97%
09:00 - 09:59,3,3.57%,"$1,300",5.02%
10:00 - 10:59,5,5.95%,"$1,700",6.56%
11:00 - 11:59,5,5.95%,"$3,150",12.16%
12:00 - 12:59,6,7.14%,"$2,300",8.88%
13:00 - 13:59,2,2.38%,$500,1.93%
14:00 - 14:59,4,4.76%,$700,2.70%
15:00 - 15:59,2,2.38%,$400,1.54%
16:00 - 16:59,3,3.57%,$650,2.51%
17:00 - 17:59,10,11.90%,"$2,050",7.92%
18:00 - 18:59,6,7.14%,"$3,050",11.78%
19:00 - 19:59,16,19.05%,"$4,150",16.02%
20:00 - 20:59,12,14.29%,"$3,350",12.93%
